index,text
1,I enjoy meeting new people regularly
2,I prefer deep conversations over small talk
3,I like participating in group activities
4,I am comfortable sharing personal experiences with others
5,I enjoy trying new things with friends
6,I value loyalty highly in friendships
7,I prefer a small circle of close friends
8,I enjoy spontaneous plans
9,I like helping friends solve their problems
10,I enjoy attending social events
11,I prefer online communication over face to face interaction
12,I enjoy intellectual discussions
13,I like making friends from different cultures
14,I usually take the initiative to reach out to friends
15,I enjoy collaborative activities such as games or projects