index,locale,text
1,en,I enjoy meeting new people regularly
1,pt,Gosto de conhecer pessoas novas regularmente
2,en,I prefer deep conversations over small talk
2,pt,Prefiro conversas profundas a conversa fiada
3,en,I like participating in group activities
3,pt,Gosto de participar em atividades de grupo
4,en,I am comfortable sharing personal experiences with others
4,pt,Sinto-me confortável a partilhar experiências pessoais com os outros
5,en,I enjoy trying new things with friends
5,pt,Gosto de experimentar coisas novas com amigos
6,en,I value loyalty highly in friendships
6,pt,Valorizo muito a lealdade nas amizades
7,en,I prefer a small circle of close friends
7,pt,Prefiro um pequeno círculo de amigos próximos
8,en,I enjoy spontaneous plans
8,pt,Gosto de planos espontâneos
9,en,I like helping friends solve their problems
9,pt,Gosto de ajudar amigos a resolver os seus problemas
10,en,I enjoy attending social events
10,pt,Gosto de participar em eventos sociais
11,en,I prefer online communication over face to face interaction
11,pt,Prefiro comunicação online em vez de interação presencial
12,en,I enjoy intellectual discussions
12,pt,Gosto de discussões intelectuais
13,en,I like making friends from different cultures
13,pt,Gosto de fazer amizade com pessoas de diferentes culturas
14,en,I usually take the initiative to reach out to friends
14,pt,Normalmente tomo a iniciativa de contactar amigos
15,en,I enjoy collaborative activities such as games or projects
15,pt,Gosto de atividades colaborativas como jogos ou projetos